[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0171s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0209s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0056s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0091s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0101s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0145s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0151s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0220s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0064s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0139s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0140s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0201s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0206s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0281s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0057s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0127s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0146s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0201s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0222s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0270s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0049s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0117s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0117s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0170s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0248s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0265s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0051s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0122s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0123s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0179s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0175s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0248s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0054s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0096s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0131s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0143s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0173s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0193s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0051s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0117s
